Region name ,Local authority name,StudentRate,vacantrooms,housingcompletion,homelessness,median housing price,unaffordability,HousingStock,NewAffordable,VacancyRate,NARate
South East,Adur,0.169450297,743,10,1.27,393319,,28730,50,0.025861469,0.001740341
North West,Allerdale,0.14985336,1661,240,2.63,193035,4.95,48314,21,0.034379269,0.000434657
East Midlands,Amber Valley,0.154651918,1940,310,1.87,229667,10.16,59087,63,0.032832941,0.001066224
South East,Arun,0.148791005,1753,490,2.89,372296,14.22,76423,131,0.022938121,0.001714144
East Midlands,Ashfield,0.168368963,1335,220,1.65,193218,11.38,56760,85,0.023520085,0.001497533
South East,Ashford,0.1800568,1303,690,2.51,370855,11.13,56200,248,0.023185053,0.004412811
East of England,Babergh,0.15688589,947,600,1.69,362368,11.75,42064.16871,178,0.022513223,0.00423163
London,Barking and Dagenham,0.26292103,1436,430,4.37,352051,5.86,77618,766,0.018500863,0.009868845
London,Barnet,0.214306629,4613,610,3.13,781723,13.82,157185.6455,404,0.029347464,0.002570209
Yorkshire and The Humber,Barnsley,0.165763047,2597,540,1.44,169005,7.76,113022,16,0.022977827,0.000141565
North West,Barrow-in-Furness,0.15243224,1588,150,2.3,158008,7.87,33707,22,0.047111876,0.000652683
East of England,Basildon,0.182671188,1656,240,2.21,375058,12.32,78809,163,0.021012828,0.002068292
South East,Basingstoke and Deane,0.169901811,1772,690,,390119,11.31,78761,427,0.022498445,0.005421465
East Midlands,Bassetlaw,0.158144036,1902,760,2.12,209896,8.6,53651,163,0.035451343,0.003038154
South West,Bath and North East Somerset,0.23995388,2461,350,1.13,475459,9.54,84019,79,0.029290994,0.000940264
East of England,Bedford,0.189704414,2083,880,4.55,339224,10.29,77884,227,0.026744903,0.002914591
London,Bexley,0.199901003,1596,250,1.77,416434,9.07,99231,200,0.016083684,0.002015499
West Midlands,Birmingham,0.258487282,13251,1980,3.35,243054,7.78,448812,376,0.029524612,0.000837767
East Midlands,Blaby,0.172181956,910,250,2.19,282659,8.46,44251,76,0.020564507,0.001717475
North West,Blackburn with Darwen,0.228062919,2518,400,4.12,156943,9.11,62074,204,0.040564488,0.0032864
North West,Blackpool,0.167177175,3182,140,6.28,142360,7.69,70683,64,0.045017897,0.000905451
East Midlands,Bolsover,0.157923586,1403,370,2.3,173868,7.97,37039,73,0.037878992,0.001970896
North West,Bolton,0.210056662,3869,620,4.8,196529,9.74,125454,226,0.030839989,0.001801457
East Midlands,Boston,0.170103824,774,360,3.09,202286,7.32,30755,140,0.02516664,0.004552105
South West,"Bournemouth, Christchurch and Poole",0.187765495,5257,330,2.99,378273,9.25,186252,75,0.0282252,0.00040268
South East,Bracknell Forest,0.183630396,1298,480,2.26,434985,14.25,52915,145,0.024529906,0.002740244
